id,name,close_approach_date
3971137,(2019 YL6),2020-01-02
3971137,(2019 YL6),2019-08-05
3971137,(2019 YL6),2018-11-07
3747497,(2016 EF195),2020-01-01
3623610,(2013 AB32),2020-01-03
3797676,(2018 AU11),2020-01-03
3797676,(2018 AU11),2019-01-11
3797676,(2018 AU11),2018-01-17
3797676,(2018 AU11),2016-12-31
3174187,(2004 BT58),2020-01-10
3174187,(2004 BT58),2019-01-17
2018172,18172 (2000 QL7),2020-01-08
2307070,307070 (2002 AV31),2020-01-08
2307070,307070 (2002 AV31),2019-08-11
2307070,307070 (2002 AV31),2017-01-07
2307070,307070 (2002 AV31),2016-08-10
3564720,(2011 HS60),2020-01-01
3564720,(2011 HS60),2018-08-23
3564720,(2011 HS60),2018-05-19
3359283,(2006 WO3),2020-01-07
3678563,(2014 OY337),2020-01-03
